PRT194607090,FRV,6,PRT,2,,3:15pm,,,,
PAW194607101,LAW,5,PAW,2,7,7pm,,,,
PAW194607102,LAW,3,PAW,0,,,MAKEUP,,,
NAS194607101,FRV,1,NAS,5,7,6:30pm,,,,
NAS194607102,FRV,3,NAS,9,,,MAKEUP,,,
LYN194607100,PRT,5,LYN,11,,8:30pm,,,,
MAN194607101,PRV,0,MAN,3,,6:30pm,,,,
MAN194607102,PRV,1,MAN,6,7,,MAKEUP,,,
PRV194607110,PAW,13,PRV,10,,8:30pm,,,,
NAS194607111,LYN,3,NAS,5,7,8:30pm?,,,,
NAS194607112,LYN,0,NAS,4,,,MAKEUP,,,
LAW194607110,FRV,2,LAW,12,,8:30pm,,,,
PRT194607110,MAN,8,PRT,8,,3:15pm,DARKNESS,,Darkness,
PAW194607120,FRV,3,PAW,5,,8:30pm,,,,
LAW194607120,PRV,2,LAW,13,,8:30pm,,,,
LYN194607120,NAS,5,LYN,4,,8:30pm,,,,
MAN194607120,PRT,3,MAN,17,,8:30pm,,,,
PRV194607130,LYN,3,PRV,1,,8:30pm,,,,
FRV194607130,LAW,8,FRV,9,,8:30pm,,,,
PRT194607130,NAS,11,PRT,1,,2pm,,,,
MAN194607130,PAW,8,MAN,6,,8:30pm,,,,
PRV194607141,FRV,2,PRV,5,7,7pm,,,,
PRV194607142,FRV,11,PRV,13,,,,,,
NAS194607140,MAN,3,NAS,2,,8:30pm,,,,
LYN194607140,LAW,4,LYN,5,12,3pm,,,,
PRT194607141,PAW,18,PRT,6,,2pm,,,,
PRT194607142,PAW,11,PRT,6,7,,MAKEUP,,,
PRV194607150,PRT,4,PRV,6,,8:30pm,,,,
NAS194607151,PAW,0,NAS,4,7,6:30pm,,,,
NAS194607152,PAW,0,NAS,3,,,MAKEUP,,,
LAW194607150,LYN,PPD,LAW,PPD,,,REPLACED_WITH_MLB_EXHIBITION,,,
PAW194607160,MAN,5,PAW,4,10,8:30pm,,,,
LAW194607160,PRT,0,LAW,10,,8:30pm,,,,
LYN194607161,PRV,4,LYN,5,8,6:30pm,,,,
LYN194607162,PRV,3,LYN,5,8,,MAKEUP,,,
FRV194607161,NAS,4,FRV,5,7,7pm,,,,
FRV194607162,NAS,7,FRV,1,,9pm,MAKEUP,,,
PAW194607170,LYN,6,PAW,5,,8:30pm,,,,
FRV194607170,NAS,9,FRV,4,,8:30pm,,,,
PRT194607170,PRV,7,PRT,3,,5:45pm,,,,
MAN194607170,LAW,5,MAN,15,,8:30pm,,,,
PRV194607181,NAS,2,PRV,3,8,7pm,,,,
PRV194607182,NAS,3,PRV,8,,,MAKEUP,,,
LAW194607180,PAW,2,LAW,4,,8:30pm,,,,
FRV194607180,MAN,10,FRV,11,10,8:30pm,,,,
PRT194607180,LYN,25,PRT,5,7,5:45pm,,,Darkness,
PAW194607191,PRT,3,PAW,5,7,7:30pm,,,,
PAW194607192,PRT,5,PAW,4,,,MAKEUP,,,
PRV194607190,LAW,7,PRV,8,10,8:30pm,,,,
LYN194607190,FRV,0,LYN,15,,8:30pm,,,,
MAN194607190,NAS,11,MAN,7,,8:30pm,,,,
PAW194607200,LAW,6,PAW,3,,8:30pm,,,,
PRV194607200,MAN,4,PRV,3,,8:30pm,,,,
FRV194607201,PRT,2,FRV,3,7,7pm,,,,
FRV194607202,PRT,6,FRV,1,,9pm,,,,
PAW194607211,NAS,6,PAW,1,,3pm,,,,
PAW194607212,NAS,3,PAW,2,,8:30pm,,,,
FRV194607210,PRV,12,FRV,4,,3pm,,,,
PRV194607210,FRV,2,PRV,10,,8:30pm,,,,
LYN194607211,MAN,2,LYN,0,,3pm,,,,
